county,precinct,office,district,party,candidate,votes
Alcorn,,US HOUSE,001,REFORM,BARBARA DALE WASHER,1033
Alcorn,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,7560
Benton,,US HOUSE,001,REFORM,BARBARA DALE WASHER,1330
Benton,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,2564
Calhoun,,US HOUSE,001,REFORM,BARBARA DALE WASHER,1069
Calhoun,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,5354
Chickasaw,,US HOUSE,001,REFORM,BARBARA DALE WASHER,1953
Chickasaw,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,5930
Choctaw,,US HOUSE,001,REFORM,BARBARA DALE WASHER,546
Choctaw,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,3089
Clay,,US HOUSE,001,REFORM,BARBARA DALE WASHER,2887
Clay,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,6291
Desoto,,US HOUSE,001,REFORM,BARBARA DALE WASHER,8611
Desoto,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,38403
Grenada,,US HOUSE,001,REFORM,BARBARA DALE WASHER,2340
Grenada,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,6505
Itawamba,,US HOUSE,001,REFORM,BARBARA DALE WASHER,1316
Itawamba,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,8246
Lafayette,,US HOUSE,001,REFORM,BARBARA DALE WASHER,3300
Lafayette,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,10904
Lee,,US HOUSE,001,REFORM,BARBARA DALE WASHER,4467
Lee,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,24089
Lowndes,,US HOUSE,001,REFORM,BARBARA DALE WASHER,4711
Lowndes,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,16163
Marshall,,US HOUSE,001,REFORM,BARBARA DALE WASHER,4622
Marshall,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,7787
Monroe,,US HOUSE,001,REFORM,BARBARA DALE WASHER,3124
Monroe,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,12048
Panola,,US HOUSE,001,REFORM,BARBARA DALE WASHER,4063
Panola,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,8209
