county,precinct,office,district,party,candidate,votes
,,US HOUSE,001,REFORM,BRENDA BLACKBURN,3477
,,US HOUSE,001,LIBERTARIAN,HAROLD M TAYLOR,2368
,,US HOUSE,001,DEMOCRAT,REX N WEATHERS,32318
,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,95404
,,US HOUSE,002,DEMOCRAT,BENNIE G THOMPSON,89913
,,US HOUSE,002,REPUBLICAN,CLINTON B LESUEUR,69711
,,US HOUSE,002,REFORM,LEE DILWORTH,3426
,,US HOUSE,003,LIBERTARIAN,BRAD A MCDONALD,760
,,US HOUSE,003,REFORM,CARROLL GRANTHAM,498
,,US HOUSE,003,REPUBLICAN,"CHARLES W ""CHIP"" PICKERING",139329
,,US HOUSE,003,INDEPENDENT,HARVEY L DARDEN,949
,,US HOUSE,003,INDEPENDENT,JIM GILES,1431
,,US HOUSE,003,DEMOCRAT,RONNIE SHOWS,76184
,,US HOUSE,004,DEMOCRAT,GENE TAYLOR,121742
,,US HOUSE,004,REPUBLICAN,KARL CLEVELAND MERTZ,34373
,,US HOUSE,004,REFORM,THOMAS HUFFMASTER,2442
,,US HOUSE,004,LIBERTARIAN,WAYNE L PARKER,3311
