county,precinct,office,district,party,candidate,votes
,,US HOUSE,001,REPUBLICAN,CLYDE E WHITAKER,82952
,,US HOUSE,001,DEMOCRAT,JAMIE L WHITTEN,121664
,,US HOUSE,002,REPUBLICAN,"DOROTHY ""DOT"" BENFORD",41248
,,US HOUSE,002,DEMOCRAT,MIKE ESPY,133361
,,US HOUSE,003,DEMOCRAT,"G V ""SONNY"" MONTGOMERY",162864
,,US HOUSE,003,REPUBLICAN,MICHAEL E WILLIAMS,37710
,,US HOUSE,004,REPUBLICAN,JACK L MCMILLAN,43705
,,US HOUSE,004,INDEPENDENT,JAMES H MEREDITH,9389
,,US HOUSE,004,INDEPENDENT,LIZ GILCHRIST,10523
,,US HOUSE,004,DEMOCRAT,MIKE PARKER,130927
,,US HOUSE,005,DEMOCRAT,GENE TAYLOR,120766
,,US HOUSE,005,REPUBLICAN,PAUL HARVEY,67619
,,US HOUSE,005,INDEPENDENT,SHAWN O'HARA,2673
