county,precinct,office,district,party,candidate,votes
Adams,"Dist. 5, Airport Precinct",US HOUSE,3,Democrat,Joel L. Gill,292
Adams,"Dist. 5, Airport Precinct",US HOUSE,3,Republican,Gregg Harper,109
Adams,"Dist. 5, Airport Precinct",US HOUSE,3,Reform,Tracella Lou O'Hara Hill,0
Adams,"Dist. 1, By-Pass Fire Precinct",US HOUSE,3,Democrat,Joel L. Gill,302
Adams,"Dist. 1, By-Pass Fire Precinct",US HOUSE,3,Republican,Gregg Harper,141
Adams,"Dist. 1, By-Pass Fire Precinct",US HOUSE,3,Reform,Tracella Lou O'Hara Hill,2
Adams,"Dist. 1, Bellemont Precinct",US HOUSE,3,Democrat,Joel L. Gill,207
Adams,"Dist. 1, Bellemont Precinct",US HOUSE,3,Republican,Gregg Harper,765
Adams,"Dist. 1, Bellemont Precinct",US HOUSE,3,Reform,Tracella Lou O'Hara Hill,10
Adams,"Dist. 2, Beau Pre Precinct",US HOUSE,3,Democrat,Joel L. Gill,150
Adams,"Dist. 2, Beau Pre Precinct",US HOUSE,3,Republican,Gregg Harper,235
Adams,"Dist. 2, Beau Pre Precinct",US HOUSE,3,Reform,Tracella Lou O'Hara Hill,2
Adams,"Dist. 3, Concord Precinct",US HOUSE,3,Democrat,Joel L. Gill,250
Adams,"Dist. 3, Concord Precinct",US HOUSE,3,Republican,Gregg Harper,25
Adams,"Dist. 3, Concord Precinct",US HOUSE,3,Reform,Tracella Lou O'Hara Hill,1
Adams,"Dist. 1, Courthouse Precinct",US HOUSE,3,Democrat,Joel L. Gill,85
Adams,"Dist. 1, Courthouse Precinct",US HOUSE,3,Republican,Gregg Harper,316
Adams,"Dist. 1, Courthouse Precinct",US HOUSE,3,Reform,Tracella Lou O'Hara Hill,4
Adams,"Dist. 4, Carpenter Precinct",US HOUSE,3,Democrat,Joel L. Gill,160
Adams,"Dist. 4, Carpenter Precinct",US HOUSE,3,Republican,Gregg Harper,79
Adams,"Dist. 4, Carpenter Precinct",US HOUSE,3,Reform,Tracella Lou O'Hara Hill,1
Adams,"Dist. 2, Duncan Park Precinct",US HOUSE,3,Democrat,Joel L. Gill,138
Adams,"Dist. 2, Duncan Park Precinct",US HOUSE,3,Republican,Gregg Harper,347
Adams,"Dist. 2, Duncan Park Precinct",US HOUSE,3,Reform,Tracella Lou O'Hara Hill,1
Adams,"Dist. 5, Foster Mound Precinct",US HOUSE,3,Democrat,Joel L. Gill,485
Adams,"Dist. 5, Foster Mound Precinct",US HOUSE,3,Republican,Gregg Harper,35
