county,precinct,office,district,party,candidate,votes
Alcorn,,US HOUSE,1,DEM,James K. (Ken) Hurt,2580
Alcorn,,US HOUSE,1,REP,Roger F. Wicker,5106
Benton,,US HOUSE,1,DEM,James K. (Ken) Hurt,1024
Benton,,US HOUSE,1,REP,Roger F. Wicker,1045
Calhoun,,US HOUSE,1,DEM,James K. (Ken) Hurt,893
Calhoun,,US HOUSE,1,REP,Roger F. Wicker,1984
Chickasaw,,US HOUSE,1,DEM,James K. (Ken) Hurt,1701
Chickasaw,,US HOUSE,1,REP,Roger F. Wicker,1921
Choctaw,,US HOUSE,1,DEM,James K. (Ken) Hurt,702
Choctaw,,US HOUSE,1,REP,Roger F. Wicker,1515
Clay,,US HOUSE,1,DEM,James K. (Ken) Hurt,2720
Clay,,US HOUSE,1,REP,Roger F. Wicker,3084
DeSoto,,US HOUSE,1,DEM,James K. (Ken) Hurt,4727
DeSoto,,US HOUSE,1,REP,Roger F. Wicker,14209
Grenada,,US HOUSE,1,DEM,James K. (Ken) Hurt,1883
Grenada,,US HOUSE,1,REP,Roger F. Wicker,3434
Itawamba,,US HOUSE,1,DEM,James K. (Ken) Hurt,1285
Itawamba,,US HOUSE,1,REP,Roger F. Wicker,3234
Lafayette,,US HOUSE,1,DEM,James K. (Ken) Hurt,2760
Lafayette,,US HOUSE,1,REP,Roger F. Wicker,4576
Lee,,US HOUSE,1,DEM,James K. (Ken) Hurt,4041
Lee,,US HOUSE,1,REP,Roger F. Wicker,9063
Lowndes,,US HOUSE,1,DEM,James K. (Ken) Hurt,4310
Lowndes,,US HOUSE,1,REP,Roger F. Wicker,8855
Marshall,,US HOUSE,1,DEM,James K. (Ken) Hurt,3951
Marshall,,US HOUSE,1,REP,Roger F. Wicker,3471
Monroe,,US HOUSE,1,DEM,James K. (Ken) Hurt,2625
Monroe,,US HOUSE,1,REP,Roger F. Wicker,4544
Panola,,US HOUSE,1,DEM,James K. (Ken) Hurt,2898
Panola,,US HOUSE,1,REP,Roger F. Wicker,3697
Pontotoc,,US HOUSE,1,DEM,James K. (Ken) Hurt,1176
Pontotoc,,US HOUSE,1,REP,Roger F. Wicker,4431
Prentiss,,US HOUSE,1,DEM,James K. (Ken) Hurt,1775
Prentiss,,US HOUSE,1,REP,Roger F. Wicker,4120
Tate,,US HOUSE,1,DEM,James K. (Ken) Hurt,1926
Tate,,US HOUSE,1,REP,Roger F. Wicker,3453
Tippah,,US HOUSE,1,DEM,James K. (Ken) Hurt,1457
Tippah,,US HOUSE,1,REP,Roger F. Wicker,3460
Tishomingo,,US HOUSE,1,DEM,James K. (Ken) Hurt,1631
Tishomingo,,US HOUSE,1,REP,Roger F. Wicker,2649
Union,,US HOUSE,1,DEM,James K. (Ken) Hurt,1265
Union,,US HOUSE,1,REP,Roger F. Wicker,3502
Webster,,US HOUSE,1,DEM,James K. (Ken) Hurt,559
Webster,,US HOUSE,1,REP,Roger F. Wicker,2008
Winston,,US HOUSE,1,DEM,James K. (Ken) Hurt,11
Winston,,US HOUSE,1,REP,Roger F. Wicker,29
Yalobusha,,US HOUSE,1,DEM,James K. (Ken) Hurt,1274
Yalobusha,,US HOUSE,1,REP,Roger F. Wicker,1708
,,US HOUSE,1,DEM,James K. (Ken) Hurt,49174
,,US HOUSE,1,REP,Roger F. Wicker,95098
Attala,,US HOUSE,2,REP,Yvonne R. Brown,2541
Attala,,US HOUSE,2,DEM,Bennie G. Thompson,2312
Bolivar,,US HOUSE,2,REP,Yvonne R. Brown,2759
Bolivar,,US HOUSE,2,DEM,Bennie G. Thompson,5276
Carroll,,US HOUSE,2,REP,Yvonne R. Brown,1394
Carroll,,US HOUSE,2,DEM,Bennie G. Thompson,1384
Claiborne,,US HOUSE,2,REP,Yvonne R. Brown,549
Claiborne,,US HOUSE,2,DEM,Bennie G. Thompson,2601
Coahoma,,US HOUSE,2,REP,Yvonne R. Brown,1967
Coahoma,,US HOUSE,2,DEM,Bennie G. Thompson,3789
