county,precinct,office,district,party,candidate,votes
,,US HOUSE,001,DEMOCRAT,BILL WHEELER,47192
,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,80553
,,US HOUSE,002,DEMOCRAT,BENNIE G THOMPSON,68014
,,US HOUSE,002,REPUBLICAN,BILL JORDAN,49270
,,US HOUSE,002,MISSISSIPPI TAXPAYERS,VINCE THORNTON,9408
,,US HOUSE,003,REPUBLICAN,DUTCH DABBS,39826
,,US HOUSE,003,DEMOCRAT,"G V ""SONNY"" MONTGOMER",83163
,,US HOUSE,004,DEMOCRAT,MIKE PARKER,82939
,,US HOUSE,004,REPUBLICAN,MIKE WOOD,38200
,,US HOUSE,005,DEMOCRAT,GENE TAYLOR,73179
,,US HOUSE,005,REPUBLICAN,GEORGE BARLOS,48575
