county,precinct,office,district,party,candidate,votes
,,US HOUSE,001,LIBERTARIAN,"JOHN ""ANDY"" ROUSE",2157
,,US HOUSE,001,DEMOCRAT,REX WEATHERS,30438
,,US HOUSE,001,REPUBLICAN,ROGER F WICKER,66738
,,US HOUSE,002,DEMOCRAT,BENNIE G THOMPSON,80284
,,US HOUSE,002,LIBERTARIAN,WILL CHIPMAN,32533
,,US HOUSE,003,LIBERTARIAN,CHARLES T SCARBOROUGH,15465
,,US HOUSE,003,REPUBLICAN,"CHARLES W ""CHIP"" PICKERING",84785
,,US HOUSE,004,LIBERTARIAN,BILL FAUSEK,898
,,US HOUSE,004,REPUBLICAN,DELBERT HOSEMANN,61551
,,US HOUSE,004,REFORM,KENNETH WELCH,697
,,US HOUSE,004,DEMOCRAT,RONNIE SHOWS,73252
,,US HOUSE,004,TAXPAYERS,VINCE THORNTON,801
,,US HOUSE,005,DEMOCRAT,GENE TAYLOR,78661
,,US HOUSE,005,NATURAL LAW,PHILIP MAYEUX,498
,,US HOUSE,005,REPUBLICAN,RANDY MCDONNELL,19341
,,US HOUSE,005,LIBERTARIAN,RAY COFFEY,1530
,,US HOUSE,005,REFORM,ROBERT CLAUNCH,1065
