county,precinct,office,district,party,candidate,votes
ADAMS,013901,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,690
ADAMS,013901,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,231
BARNES,022401,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,155
BARNES,022402,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,255
BARNES,022403,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,123
BARNES,022404,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,264
BARNES,022405,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,360
BARNES,022406,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,184
BARNES,022407,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,69
BARNES,022408,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,81
BARNES,022409,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,128
BARNES,022410,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,34
BARNES,022411,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,333
BARNES,022412,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,120
BARNES,022413,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,121
BARNES,022414,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,39
BARNES,022415,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,109
BARNES,022401,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,135
BARNES,022402,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,223
BARNES,022403,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,101
BARNES,022404,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,204
BARNES,022405,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,248
BARNES,022406,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,108
BARNES,022407,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,30
BARNES,022408,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,29
BARNES,022409,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,45
BARNES,022410,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,28
BARNES,022411,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,152
BARNES,022412,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,46
BARNES,022413,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,75
BARNES,022414,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,26
BARNES,022415,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,34
BARNES,022401,US HOUSE,AT-LARGE,,WRITE-IN,1
BARNES,022402,US HOUSE,AT-LARGE,,WRITE-IN,2
BARNES,022403,US HOUSE,AT-LARGE,,WRITE-IN,1
BARNES,022405,US HOUSE,AT-LARGE,,WRITE-IN,1
BARNES,022412,US HOUSE,AT-LARGE,,WRITE-IN,1
BENSON,031401,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,508
BENSON,031502,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,106
BENSON,031503,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,104
BENSON,031504,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,77
BENSON,031401,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,282
BENSON,031502,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,71
BENSON,031503,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,219
BENSON,031504,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,66
BENSON,031503,US HOUSE,AT-LARGE,,WRITE-IN,3
BILLINGS,043901,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,117
BILLINGS,043902,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,237
BILLINGS,043903,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,85
BILLINGS,043901,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,39
BILLINGS,043902,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,39
BILLINGS,043903,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,14
BOTTINEAU,050601,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,400
BOTTINEAU,050602,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,489
BOTTINEAU,050603,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,363
BOTTINEAU,050604,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,392
BOTTINEAU,050605,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,383
BOTTINEAU,050601,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,188
BOTTINEAU,050602,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,200
BOTTINEAU,050603,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,145
BOTTINEAU,050604,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,158
BOTTINEAU,050605,US HOUSE,AT-LARGE,INDEPENDENT,CARA MUND,117
BOTTINEAU,050601,US HOUSE,AT-LARGE,,WRITE-IN,3
BOTTINEAU,050602,US HOUSE,AT-LARGE,,WRITE-IN,1
BOTTINEAU,050603,US HOUSE,AT-LARGE,,WRITE-IN,1
BOTTINEAU,050605,US HOUSE,AT-LARGE,,WRITE-IN,1
BOWMAN,063901,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,459
BOWMAN,063902,US HOUSE,AT-LARGE,REPUBLICAN,KELLY ARMSTRONG,263
