county,precinct,office,district,party,candidate,votes
ADAIR,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,4312
ADAIR,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1783
ALLEN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,3863
ALLEN,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1639
BALLARD,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1536
BALLARD,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1660
BUTLER,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2894
BUTLER,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1198
CALDWELL,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2630
CALDWELL,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1762
CALLOWAY,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,6237
CALLOWAY,,US HOUSE,001,DEMOCRAT,TOM BARLOW,4182
CARLISLE,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1294
CARLISLE,,US HOUSE,001,DEMOCRAT,TOM BARLOW,995
CASEY,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,3171
CASEY,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1025
CHRISTIAN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,9433
CHRISTIAN,,US HOUSE,001,DEMOCRAT,TOM BARLOW,4271
CLINTON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,3080
CLINTON,,US HOUSE,001,DEMOCRAT,TOM BARLOW,902
CRITTENDEN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1991
CRITTENDEN,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1288
CUMBERLAND,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1797
CUMBERLAND,,US HOUSE,001,DEMOCRAT,TOM BARLOW,611
FULTON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1007
FULTON,,US HOUSE,001,DEMOCRAT,TOM BARLOW,979
GRAVES,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,5866
GRAVES,,US HOUSE,001,DEMOCRAT,TOM BARLOW,4746
HENDERSON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,6990
HENDERSON,,US HOUSE,001,DEMOCRAT,TOM BARLOW,6258
HICKMAN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1039
HICKMAN,,US HOUSE,001,DEMOCRAT,TOM BARLOW,984
HOPKINS,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,8503
HOPKINS,,US HOUSE,001,DEMOCRAT,TOM BARLOW,4906
LINCOLN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,905
LINCOLN,,US HOUSE,001,DEMOCRAT,TOM BARLOW,787
LIVINGSTON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1620
LIVINGSTON,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1628
LOGAN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,4021
LOGAN,,US HOUSE,001,DEMOCRAT,TOM BARLOW,3261
LYON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1692
LYON,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1409
MCCRACKEN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,13128
MCCRACKEN,,US HOUSE,001,DEMOCRAT,TOM BARLOW,8627
MCLEAN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1716
MCLEAN,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1506
MARSHALL,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,6206
MARSHALL,,US HOUSE,001,DEMOCRAT,TOM BARLOW,5883
METCALFE,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1813
METCALFE,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1782
MONROE,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,3599
MONROE,,US HOUSE,001,DEMOCRAT,TOM BARLOW,939
MUHLENBERG,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,4849
MUHLENBERG,,US HOUSE,001,DEMOCRAT,TOM BARLOW,6033
OHIO,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2485
OHIO,,US HOUSE,001,DEMOCRAT,TOM BARLOW,2067
RUSSELL,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,4438
RUSSELL,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1552
SIMPSON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2458
SIMPSON,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1893
TODD,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2064
TODD,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1475
TRIGG,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,3016
TRIGG,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1799
UNION,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2322
UNION,,US HOUSE,001,DEMOCRAT,TOM BARLOW,2191
WEBSTER,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1643
WEBSTER,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1844
BARREN,,US HOUSE,002,REPUBLICAN,RON LEWIS,6784
BARREN,,US HOUSE,002,DEMOCRAT,MIKE WEAVER,5073
BRECKINRIDGE,,US HOUSE,002,REPUBLICAN,RON LEWIS,4256
BRECKINRIDGE,,US HOUSE,002,DEMOCRAT,MIKE WEAVER,2925
BULLITT,,US HOUSE,002,REPUBLICAN,RON LEWIS,10679
BULLITT,,US HOUSE,002,DEMOCRAT,MIKE WEAVER,8712
DAVIESS,,US HOUSE,002,REPUBLICAN,RON LEWIS,13936
DAVIESS,,US HOUSE,002,DEMOCRAT,MIKE WEAVER,14378
EDMONSON,,US HOUSE,002,REPUBLICAN,RON LEWIS,2414
EDMONSON,,US HOUSE,002,DEMOCRAT,MIKE WEAVER,1717
GRAYSON,,US HOUSE,002,REPUBLICAN,RON LEWIS,5456
GRAYSON,,US HOUSE,002,DEMOCRAT,MIKE WEAVER,3185
GREEN,,US HOUSE,002,REPUBLICAN,RON LEWIS,3338
GREEN,,US HOUSE,002,DEMOCRAT,MIKE WEAVER,1374
HANCOCK,,US HOUSE,002,REPUBLICAN,RON LEWIS,1580
HANCOCK,,US HOUSE,002,DEMOCRAT,MIKE WEAVER,1695
HARDIN,,US HOUSE,002,REPUBLICAN,RON LEWIS,14629
HARDIN,,US HOUSE,002,DEMOCRAT,MIKE WEAVER,10901
HART,,US HOUSE,002,REPUBLICAN,RON LEWIS,3226
HART,,US HOUSE,002,DEMOCRAT,MIKE WEAVER,2629
JEFFERSON,,US HOUSE,002,REPUBLICAN,RON LEWIS,1912
JEFFERSON,,US HOUSE,002,DEMOCRAT,MIKE WEAVER,2187
LARUE,,US HOUSE,002,REPUBLICAN,RON LEWIS,2565
LARUE,,US HOUSE,002,DEMOCRAT,MIKE WEAVER,1871
