county,precinct,office,district,party,candidate,votes
Adair,,US HOUSE,001,REPUBLICAN,JAMES R COMER,7373
Adair,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,1202
Allen,,US HOUSE,001,REPUBLICAN,JAMES R COMER,7704
Allen,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,1472
Ballard,,US HOUSE,001,REPUBLICAN,JAMES R COMER,3369
Ballard,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,811
Caldwell,,US HOUSE,001,REPUBLICAN,JAMES R COMER,4948
Caldwell,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,1407
Calloway,,US HOUSE,001,REPUBLICAN,JAMES R COMER,11946
Calloway,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,5343
Carlisle,,US HOUSE,001,REPUBLICAN,JAMES R COMER,2161
Carlisle,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,446
Casey,,US HOUSE,001,REPUBLICAN,JAMES R COMER,6278
Casey,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,788
Christian,,US HOUSE,001,REPUBLICAN,JAMES R COMER,15339
Christian,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,8117
Clinton,,US HOUSE,001,REPUBLICAN,JAMES R COMER,4337
Clinton,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,531
Crittenden,,US HOUSE,001,REPUBLICAN,JAMES R COMER,3460
Crittenden,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,720
Cumberland,,US HOUSE,001,REPUBLICAN,JAMES R COMER,2835
Cumberland,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,409
Fulton,,US HOUSE,001,REPUBLICAN,JAMES R COMER,1623
Fulton,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,756
Graves,,US HOUSE,001,REPUBLICAN,JAMES R COMER,13344
Graves,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,3331
Henderson,,US HOUSE,001,REPUBLICAN,JAMES R COMER,12988
Henderson,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,7400
Hickman,,US HOUSE,001,REPUBLICAN,JAMES R COMER,1742
Hickman,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,431
Hopkins,,US HOUSE,001,REPUBLICAN,JAMES R COMER,15440
Hopkins,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,5650
Livingston,,US HOUSE,001,REPUBLICAN,JAMES R COMER,3981
Livingston,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,985
Logan,,US HOUSE,001,REPUBLICAN,JAMES R COMER,9099
Logan,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,3058
Lyon,,US HOUSE,001,REPUBLICAN,JAMES R COMER,3164
Lyon,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,1032
Marion,,US HOUSE,001,REPUBLICAN,JAMES R COMER,5885
Marion,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,2719
Marshall,,US HOUSE,001,REPUBLICAN,JAMES R COMER,13442
Marshall,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,3964
McCracken,,US HOUSE,001,REPUBLICAN,JAMES R COMER,22705
McCracken,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,10414
McLean,,US HOUSE,001,REPUBLICAN,JAMES R COMER,3593
McLean,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,1115
Metcalfe,,US HOUSE,001,REPUBLICAN,JAMES R COMER,4036
Metcalfe,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,874
Monroe,,US HOUSE,001,REPUBLICAN,JAMES R COMER,4870
Monroe,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,413
Muhlenberg,,US HOUSE,001,REPUBLICAN,JAMES R COMER,9804
Muhlenberg,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,4046
Ohio,,US HOUSE,001,REPUBLICAN,JAMES R COMER,8544
Ohio,,US HOUSE,001,DEMOCRATIC,JAMES RHODES,2346
Russell,,US HOUSE,001,REPUBLICAN,JAMES R COMER,7653
