county,precinct,office,district,party,candidate,votes
ADAIR,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,4160
ADAIR,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,1050
ALLEN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,3676
ALLEN,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,1222
BALLARD,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1526
BALLARD,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,1366
BUTLER,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2907
BUTLER,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,778
CALDWELL,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2503
CALDWELL,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,1393
CALLOWAY,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,5145
CALLOWAY,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,3573
CARLISLE,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1035
CARLISLE,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,670
CASEY,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2685
CASEY,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,600
CHRISTIAN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,8371
CHRISTIAN,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,3705
CLINTON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,3040
CLINTON,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,684
CRITTENDEN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2026
CRITTENDEN,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,949
CUMBERLAND,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1642
CUMBERLAND,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,602
FULTON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1015
FULTON,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,716
GRAVES,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,6292
GRAVES,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,4364
HENDERSON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,6686
HENDERSON,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,4926
HICKMAN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,822
HICKMAN,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,675
HOPKINS,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,7413
HOPKINS,,US HOUSE,001,DEMOCRAT,KLINT ALEXANDER,3638
LINCOLN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,780
