county,precinct,office,district,party,candidate,votes
ADAIR,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,3721
ADAIR,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1534
ALLEN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,3425
ALLEN,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1531
BALLARD,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1007
BALLARD,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1818
BUTLER,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2524
BUTLER,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1028
CALDWELL,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2317
CALDWELL,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1971
CALLOWAY,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,4784
CALLOWAY,,US HOUSE,001,DEMOCRAT,TOM BARLOW,3595
CARLISLE,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,869
CARLISLE,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1004
CHRISTIAN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,7793
CHRISTIAN,,US HOUSE,001,DEMOCRAT,TOM BARLOW,4302
CLINTON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2985
CLINTON,,US HOUSE,001,DEMOCRAT,TOM BARLOW,808
CRITTENDEN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1952
CRITTENDEN,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1271
CUMBERLAND,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1619
CUMBERLAND,,US HOUSE,001,DEMOCRAT,TOM BARLOW,490
FULTON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,949
FULTON,,US HOUSE,001,DEMOCRAT,TOM BARLOW,1102
GRAVES,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,4576
GRAVES,,US HOUSE,001,DEMOCRAT,TOM BARLOW,5011
HENDERSON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,5229
HENDERSON,,US HOUSE,001,DEMOCRAT,TOM BARLOW,5804
HICKMAN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,739
HICKMAN,,US HOUSE,001,DEMOCRAT,TOM BARLOW,850
