county,precinct,office,district,party,candidate,votes
ADAIR,A102,US HOUSE,001,REPUBLICAN,JAMES R COMER,181
ADAIR,A102,US HOUSE,001,DEMOCRAT,JIMMY C AUSBROOKS,9
ADAIR,A104,US HOUSE,001,REPUBLICAN,JAMES R COMER,305
ADAIR,A104,US HOUSE,001,DEMOCRAT,JIMMY C AUSBROOKS,32
ADAIR,A105,US HOUSE,001,REPUBLICAN,JAMES R COMER,276
ADAIR,A105,US HOUSE,001,DEMOCRAT,JIMMY C AUSBROOKS,17
ADAIR,B102,US HOUSE,001,REPUBLICAN,JAMES R COMER,301
ADAIR,B102,US HOUSE,001,DEMOCRAT,JIMMY C AUSBROOKS,73
ADAIR,B104,US HOUSE,001,REPUBLICAN,JAMES R COMER,285
ADAIR,B104,US HOUSE,001,DEMOCRAT,JIMMY C AUSBROOKS,39
ADAIR,C102,US HOUSE,001,REPUBLICAN,JAMES R COMER,333
ADAIR,C102,US HOUSE,001,DEMOCRAT,JIMMY C AUSBROOKS,68
ADAIR,C104,US HOUSE,001,REPUBLICAN,JAMES R COMER,439
ADAIR,C104,US HOUSE,001,DEMOCRAT,JIMMY C AUSBROOKS,65
ADAIR,D101,US HOUSE,001,REPUBLICAN,JAMES R COMER,279
ADAIR,D101,US HOUSE,001,DEMOCRAT,JIMMY C AUSBROOKS,33
ADAIR,D103,US HOUSE,001,REPUBLICAN,JAMES R COMER,274
ADAIR,D103,US HOUSE,001,DEMOCRAT,JIMMY C AUSBROOKS,32
ADAIR,D104,US HOUSE,001,REPUBLICAN,JAMES R COMER,233
ADAIR,D104,US HOUSE,001,DEMOCRAT,JIMMY C AUSBROOKS,69
ADAIR,E101,US HOUSE,001,REPUBLICAN,JAMES R COMER,408
ADAIR,E101,US HOUSE,001,DEMOCRAT,JIMMY C AUSBROOKS,38
ADAIR,E104,US HOUSE,001,REPUBLICAN,JAMES R COMER,441
ADAIR,E104,US HOUSE,001,DEMOCRAT,JIMMY C AUSBROOKS,107
