county,precinct,office,district,party,candidate,votes
ADAIR,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,1277
ADAIR,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,4789
ALLEN,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,1485
ALLEN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,4411
BALLARD,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,1962
BALLARD,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1633
BUTLER,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,1083
BUTLER,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,3513
CALDWELL,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,2196
CALDWELL,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2933
CALLOWAY,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,5614
CALLOWAY,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,7378
CARLISLE,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,1169
CARLISLE,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1288
CHRISTIAN,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,5649
CHRISTIAN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,10523
CLINTON,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,735
CLINTON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,3222
CRITTENDEN,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,1505
CRITTENDEN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2385
CUMBERLAND,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,575
CUMBERLAND,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2092
FULTON,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,1292
FULTON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1258
GRAVES,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,6488
GRAVES,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,6836
HENDERSON,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,7799
HENDERSON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,7344
HICKMAN,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,941
HICKMAN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1061
HOPKINS,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,7004
HOPKINS,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,8407
LIVINGSTON,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,2131
LIVINGSTON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1908
LOGAN,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,3017
LOGAN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,5353
LYON,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,1635
LYON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1595
MCCRACKEN,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,11005
MCCRACKEN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,14147
MCLEAN,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,1702
MCLEAN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1997
MARSHALL,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,7601
MARSHALL,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,5945
MONROE,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,777
MONROE,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,4120
MUHLENBERG,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,6308
MUHLENBERG,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,4828
OHIO,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,3216
OHIO,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,5115
RUSSELL,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,1142
RUSSELL,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,4897
SIMPSON,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,1864
SIMPSON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,3224
TODD,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,1211
TODD,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2431
TRIGG,,US HOUSE,001,DEMOCRAT,BRIAN S ROY,2157
TRIGG,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2952
