county,precinct,office,district,party,candidate,votes
ADAIR,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1995
ADAIR,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,2887
ADAIR,,US HOUSE,001,REFORM,MARVIN SEAT,15
ALLEN,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,2063
ALLEN,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,2386
ALLEN,,US HOUSE,001,REFORM,MARVIN SEAT,22
BALLARD,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,2968
BALLARD,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,768
BALLARD,,US HOUSE,001,REFORM,MARVIN SEAT,24
BUTLER,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1532
BUTLER,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,2261
BUTLER,,US HOUSE,001,REFORM,MARVIN SEAT,12
CALDWELL,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,3534
CALDWELL,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,1727
CALDWELL,,US HOUSE,001,REFORM,MARVIN SEAT,15
CALLOWAY,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,6175
CALLOWAY,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,5608
CALLOWAY,,US HOUSE,001,REFORM,MARVIN SEAT,48
CARLISLE,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1518
CARLISLE,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,761
CARLISLE,,US HOUSE,001,REFORM,MARVIN SEAT,6
CHRISTIAN,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,6835
CHRISTIAN,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,7979
CHRISTIAN,,US HOUSE,001,REFORM,MARVIN SEAT,32
CLINTON,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,924
CLINTON,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,1921
CLINTON,,US HOUSE,001,REFORM,MARVIN SEAT,19
CRITTENDEN,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1945
CRITTENDEN,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,1321
CRITTENDEN,,US HOUSE,001,REFORM,MARVIN SEAT,9
CUMBERLAND,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,704
CUMBERLAND,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,1254
CUMBERLAND,,US HOUSE,001,REFORM,MARVIN SEAT,3
FULTON,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1828
FULTON,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,719
FULTON,,US HOUSE,001,REFORM,MARVIN SEAT,93
GRAVES,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,7974
GRAVES,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,4855
GRAVES,,US HOUSE,001,REFORM,MARVIN SEAT,142
HENDERSON,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,10491
HENDERSON,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,4061
HENDERSON,,US HOUSE,001,REFORM,MARVIN SEAT,61
HICKMAN,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1590
HICKMAN,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,658
HICKMAN,,US HOUSE,001,REFORM,MARVIN SEAT,78
HOPKINS,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,10930
HOPKINS,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,4702
HOPKINS,,US HOUSE,001,REFORM,MARVIN SEAT,47
LIVINGSTON,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,2631
LIVINGSTON,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,1076
LIVINGSTON,,US HOUSE,001,REFORM,MARVIN SEAT,28
LOGAN,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,4349
LOGAN,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,3546
LOGAN,,US HOUSE,001,REFORM,MARVIN SEAT,16
LYON,,US HOUSE,001,DEMOCRAT,THOMAS J BARLOW III,1773
LYON,,US HOUSE,001,REPUBLICAN,STEVE HAMRICK,798
LYON,,US HOUSE,001,REFORM,MARVIN SEAT,36
