county,precinct,office,district,party,candidate,votes
ADAIR,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,4019
ADAIR,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,1435
ALLEN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,3213
ALLEN,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,1529
BALLARD,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1412
BALLARD,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,2235
BUTLER,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2703
BUTLER,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,1098
CALDWELL,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2556
CALDWELL,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,2299
CALLOWAY,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,6012
CALLOWAY,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,5008
CARLISLE,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,991
CARLISLE,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,1241
CHRISTIAN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,9671
CHRISTIAN,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,5487
CLINTON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,2811
CLINTON,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,787
CRITTENDEN,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1783
CRITTENDEN,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,1440
CUMBERLAND,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1733
CUMBERLAND,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,599
FULTON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,1041
FULTON,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,1383
GRAVES,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,5774
GRAVES,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,7320
HENDERSON,,US HOUSE,001,REPUBLICAN,ED WHITFIELD,6615
HENDERSON,,US HOUSE,001,DEMOCRAT,DENNIS L NULL,7086
