county,precinct,office,district,party,candidate,votes
ADAIR,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,5116
ADAIR,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,1389
ALLEN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,5017
ALLEN,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,1532
BALLARD,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2388
BALLARD,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,1378
BUTLER,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,3960
BUTLER,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,1106
CALDWELL,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,3989
CALDWELL,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,1900
CALLOWAY,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,9605
CALLOWAY,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,4547
CARLISLE,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1788
CARLISLE,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,880
CASEY,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,4347
CASEY,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,974
CHRISTIAN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,13986
CHRISTIAN,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,5508
CLINTON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,3121
CLINTON,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,706
CRITTENDEN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2774
CRITTENDEN,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,1116
CUMBERLAND,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2136
CUMBERLAND,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,611
FULTON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1557
FULTON,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,987
GRAVES,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,9724
GRAVES,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,5225
HENDERSON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,10680
HENDERSON,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,6698
HICKMAN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1443
HICKMAN,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,726
HOPKINS,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,12113
HOPKINS,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,5598
LINCOLN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,1425
LINCOLN,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,800
LIVINGSTON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2554
LIVINGSTON,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,1838
LOGAN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,6532
LOGAN,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,3150
LYON,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2250
LYON,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,1439
MCCRACKEN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,18547
MCCRACKEN,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,9653
MCLEAN,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2518
MCLEAN,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,1620
MARSHALL,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,9049
MARSHALL,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,5665
METCALFE,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,2260
METCALFE,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,1299
MONROE,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,4214
MONROE,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,726
MUHLENBERG,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,6530
MUHLENBERG,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,5737
OHIO,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,3274
OHIO,,US HOUSE,001,DEMOCRAT,BILLY R CARTWRIGHT,1840
RUSSELL,,US HOUSE,001,REPUBLICAN,EDWARD WHITFIELD,5451
